id;titulo;fecha_publicación;num_páginas ;ranking;language_code;ratings_count;text_reviews_count;publisher
81;Judge Dredd (Audio Cassette);07/01/1995;0;2.96;eng;6;0;Random House Audio
82;The Guide to Dan Brown's the Solomon Key;9/30/2005;183;2.98;eng;34;2;DeVorss & Company
83;Mistaken Identity;12/30/2016;324;2.98;eng;0;0;Harper Collins
84;Dinner with Anna Karenina;1/28/2006;360;2.99;eng;411;65;Mira Books
85;Verserade tankar;09/01/1999;128;3;swe;1;0;Alfabeta Bokförlag
86;Theocritus: Select Poems: Select Poems;06/01/1991;395;3;grc;1;1;Bristol Classical Press
87;Phaedrus/Apology/Crito/Symposium;01/01/2006;144;3;eng;19;0;Digireads.com
88;New Media Language;5/22/2003;209;3;eng;2;0;Routledge
89;Return to the Planet of the Apes #2: Escape from Terror Lagoon;04/12/1976;0;3;eng;10;2;Ballantine Books
90;The Toy Maker: The Life and Times of Inventor Frank Hornby;08/01/2004;352;3;eng;1;1;Ebury Press
91;Cypress Gardens (Images of America: Florida);11/27/2006;128;3;eng;5;1;Arcadia Publishing (SC)
92;Aristotle's Ethics (SparkNotes Literature Guides);6/13/2003;80;3;eng;2;0;SparkNotes
93;Selections from the Oakland Tribune Archives (Images of America: California);10/30/2006;128;3;eng;2;1;Arcadia Publishing (SC)
94;C++ Programmer's Notebook;8/16/2001;528;3;eng;3;0;Prentice Hall PTR
95;A Free Enquiry Into the Vulgarly Received Notion of Nature;07/11/1996;212;3;eng;2;0;Cambridge University Press
96;Sukhoi Su-27 Flanker (WarbirdTech  #42);04/01/2006;104;3;eng;6;0;Specialty Press
97;The Work of Work Servitude  Slavery and Labor in Medieval England;8/14/1994;240;3;eng;1;0;Cruithne Press
98;Magical Creatures (Easy To Read! Easy To Draw!);10/27/2003;48;3;eng;1;0;Price Stern Sloan
99;Proof of Concept;1/18/2005;134;3;eng;6;1;AIT Planet Lar
100;Turn of the Cards;05/12/1979;0;3;eng;3;1;Fawcett Coventry
101;My Dirty Thirties: Romantic Hedonism;07/01/2004;144;3;eng;8;1;New Tradition Books
102;Flirting With Danger;06/01/1996;188;3;eng;12;4;Harlequin
103;The Easter Rabbit's Parade;1/27/2004;40;3;eng;29;7;Random House Books for Young Readers
104;Nightingale's Song;10/19/2006;219;3.02;eng;40;5;Hachette Children's
105;Closing Time;07/01/2003;464;3.02;eng;106;9;Simon & Schuster (Trade Division)
106;The Diviners;01/02/2007;592;3.03;eng;508;65;Back Bay Books
107;The White Widow;5/19/2000;224;3.04;eng;181;19;PublicAffairs
108;In the Kitchen with Rosie: Oprah's Favorite Recipes;4/16/1994;142;3.04;eng;767;31;Knopf
109;El Diablo Cojuelo;01/11/2007;192;3.06;spa;13;2;Cátedra
110;Bite Club (Bite Club  #1);4/20/2005;144;3.07;eng;148;12;Vertigo (DC Comics)
111;Black Veil: A Memoir with Digressions;05/06/2002;336;3.07;eng;402;38;Little Brown and Company
112;Garden State;8/19/2002;212;3.07;eng;714;49;London : Faber  2002
113;The Wind Done Gone;04/08/2002;224;3.07;eng;1698;283;Mariner Books
114;The Jane Austen Book Club;4/26/2005;288;3.08;eng;57720;3535;G.P. Putnam's Sons
115;Wind Child;07/01/1990;331;3.08;eng;13;1;Pocket Books
116;"Natural Cures ""They"" Don't Want You to Know about";01/01/2004;571;3.09;eng;1601;284;Alliance Publishing
117;Cliffs Notes on Woolf's Mrs. Dalloway;12/12/2003;72;3.09;eng;10;2;Cliffs Notes
118;The Coming;11/01/2001;278;3.09;eng;690;71;Ace
119;The Truth of the Matter;11/03/2006;352;3.09;eng;194;40;Back Bay Books
120;The 3-Hour Diet: On the Go;10/18/2005;192;3.1;eng;31;2;William Morrow Paperbacks
121;The Big Bing: Black Holes of Time Management  Gaseous Executive Bodies  Exploding Careers  and Other Theories on the Origins of the Business Universe;01/03/2006;368;3.11;eng;27;6;Harper Business
122;True Story;10/01/2005;304;3.11;eng;199;28;Simon  Schuster
123;Billy Budd  Sailor and Other Uncompleted Writings;12/15/2007;1016;3.11;eng;9;1;Northwestern University Press
124;1848: The Revolution of the Intellectuals;03/12/1992;144;3.11;eng;15;0;British Academy
125;Manshape;9/28/1982;159;3.11;eng;34;5;DAW SF
126;Billy Budd  Sailor and Other Uncompleted Writings: The Writings of Herman Melville  Volume 13;9/15/2017;1016;3.11;eng;0;0;Northwestern Univ Press
127;Billy Budd  marin;5/14/1987;182;3.12;fre;9;0;Gallimard
128;Africa South of the Sahara: A Geographical Interpretation (Texts In Regional Geography);05/04/2004;479;3.12;eng;8;0;The Guilford Press
129;The Twenty-Seventh City;05/01/2003;528;3.12;eng;125;17;HarperCollins Publishers
130;The Twenty-Seventh City;09/08/2001;528;3.12;eng;3621;330;Picador USA
131;CliffsNotes on Faulkner's Absalom  Absalom!;2/28/1964;64;3.12;eng;8;1;Cliffs Notes
132;Billy Budd  Sailor;09/01/2001;230;3.12;eng;228;26;University of Chicago Press
133;Billy Budd  Sailor;08/01/2006;160;3.12;eng;12599;687;Simon  Schuster
134;Underworld Unleashed;04/01/1998;176;3.12;eng;111;6;DC Comics
135;Red Message;04/01/1986;320;3.12;eng;8;2;Avon Books
136;Mighty Love;02/01/2005;96;3.12;eng;51;3;DC Comics
137;The Franklin Affair;6/13/2006;208;3.12;eng;144;25;Random House Trade
138;Billy Budd  Sailor;10/24/1995;96;3.12;eng;178;20;Penguin Books Ltd
139;Billy Budd  Sailor;03/01/1999;127;3.12;eng;29;0;Turtleback Books
140;The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice);02/01/2006;264;3.13;eng;37;7;Apress
141;Hawkes Harbor;10/01/2005;289;3.13;eng;2157;288;Tor Books
142;Magic Seeds;11/08/2005;280;3.13;eng;715;104;Vintage
143;The Mermaid Chair;03/07/2006;368;3.13;eng;68363;5816;Penguin Books
144;Sweet Dreams  Mimi (Baby Einstein);04/01/2004;16;3.13;eng;37;3;Disney Press
145;Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings;07/01/1993;149;3.13;eng;4438;301;Roc Trade
146;Pilgrims and Other Stories;04/09/1998;288;3.13;eng;1411;182;Picador
147;Pilgrims Pa;9/17/1998;224;3.13;eng;10;2;Mariner Books
148;The Castle in the Forest;1/23/2007;477;3.14;eng;2307;351;Random House (NY)
149;A Is for Abductive : The Language of the Emerging Church;12/24/2002;338;3.14;eng;49;3;Zondervan
150;Cervantes in Algiers: A Captive's Tale;06/01/2005;368;3.14;eng;7;1;Vanderbilt University Press
151;Complete Star Wars Trilogy Scrapbook Re-issue;10/01/2004;64;3.14;eng;7;1;Scholastic Paperbacks
152;Going Potty;10/01/1999;64;3.14;eng;7;1;O'Brien Press
153;Think Like a Guy: How to Get a Guy by Thinking Like One;6/27/2006;172;3.15;eng;115;23;St. Martin's Griffin
154;Warrior Angel;2/27/2007;354;3.15;eng;242;28;Avon
155;Exile;06/11/1997;288;3.15;eng;159;14;Scribner
156;Monkey Business: True Story of the Scopes Trial;5/15/2005;368;3.15;eng;26;8;B Books
157;The Stones of Summer;2/24/2004;586;3.15;eng;421;110;Overlook Press
158;El cazador de autógrafos;12/30/2003;379;3.16;spa;11;1;Salamandra
159;Citas Celestiales;11/01/2006;190;3.16;spa;1;0;Umbriel
160;Bad Dreams;4/25/1995;280;3.16;eng;151;13;Running Press
161;The Autograph Man;6/17/2003;347;3.16;eng;9541;576;Vintage
162;The Weekenders: Travels in the Heart of Africa;11/08/2001;340;3.16;eng;123;12;Ebury Press
163;The Autograph Man;5/22/2003;420;3.16;eng;535;66;Penguin Books Ltd
164;The Mini Zen Gardening Kit;09/04/2000;40;3.16;eng;14;1;RP Minis
165;The Zen Gardening Kit/Book and Japanese Rock Garden;11/23/1992;96;3.16;eng;29;2;Running Press Book Publishers
166;Boogaloo on 2nd Avenue;2/28/2006;319;3.17;eng;191;26;Random House Trade
167;When the World Was Steady;09/01/1995;270;3.17;eng;481;58;Granta
168;Freaks of the Storm: From Flying Cows to Stealing Thunder: The World's Strangest True Weather Stories;12/29/2006;371;3.17;eng;139;25;Thunder's Mouth Press Books
169;Terrorist;06/06/2006;320;3.17;eng;3490;410;Knopf
170;A Song Of Stone;01/01/2009;280;3.17;eng;78;10;Little Brown
171;The Little Baby Snoogle-Fleejer;11/21/1995;24;3.17;eng;42;11;Crown
172;Pledged: The Secret Life of Sororities;4/14/2004;384;3.18;eng;245;30;Hyperion
173;In the Hand of Dante;09/01/2003;384;3.18;eng;683;76;Back Bay Books
174;The Castle of Otranto;3/19/2004;106;3.18;eng;237;39;Dover Publications
175;The Castle of Otranto;7/16/1998;125;3.18;eng;16370;1211;Oxford University Press
176;First Love: A Gothic Tale;8/21/1997;86;3.19;eng;579;83;Ecco
177;Tinsel;6/15/1980;399;3.19;eng;258;14;Dell
178;The Butterfly Tattoo;09/02/2005;186;3.19;eng;1048;83;Young Picador
179;This Christmas;10/01/2009;480;3.19;eng;1153;92;Zebra
180;The Long Road Back: A Survivor's Guide to Anorexia;10/01/1998;194;3.2;eng;30;3;North Star Publications (MA)
181;Songs of the Humpback Whale;10/01/2001;346;3.2;eng;27590;1838;Washington Square Press
182;Conversation: A History of a Declining Art;03/11/2006;368;3.2;eng;95;16;Yale University Press
183;Persuasive Writing: Mini-Lessons  Strategies  Activities;08/01/1998;64;3.2;eng;5;1;Scholastic
184;Architecture and Tourism: Perception  Performance and Place;09/04/2004;320;3.2;eng;5;1;Bloomsbury Academic
185;Serious Girls;12/01/2004;240;3.2;eng;207;28;Picador USA
186;Superman: Back in Action;1/31/2007;144;3.21;eng;140;12;DC Comics
187;The Rosetta Codex;12/06/2005;384;3.21;eng;22;2;Ace Trade
188;The Elements of Visual Style: The Basics of Print Design for Every PC and Mac User;05/01/2007;177;3.21;eng;14;3;Houghton Mifflin Harcourt
189;Ultimate Annuals  Volume 2;02/07/2007;160;3.21;eng;105;8;Marvel
190;Falling Man;5/15/2007;246;3.21;eng;10304;1092;Scribner
191;Sociology in Our Times;01/01/2006;742;3.21;eng;1;0;Wadsworth Publishing Company
192;Swimming Upstream: Collaborative Approaches to Watershed Management;4/29/2005;344;3.21;eng;13;1;The MIT Press
193;Only Revolutions;09/12/2006;360;3.21;eng;4791;443;Pantheon Books
194;The Radical Right & the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President;10/06/2004;615;3.22;eng;9;0;Trafford Publishing
195;The Campfire Collection: Spine-tingling Tales to Tell in the Dark;03/01/2000;176;3.22;eng;50;6;Chronicle Books
196;Cosmopolis;04/06/2004;224;3.22;eng;460;41;Scribner
197;Choke Point: A Brinker Mystery (Brinker P.I.);10/05/2004;272;3.22;eng;3;0;St. Martin's Minotaur
198;Doctor Who: Cat's Cradle-Time's Crucible;2/20/1992;275;3.22;eng;589;40;Virgin Publishing
199;Doctor Who: Cat's Cradle-Witch Mark;6/18/1992;256;3.22;eng;399;25;Virgin Publishing
200;Don't Wait for Your Ship to Come In... Swim Out to Meet It!: Bite-Sized Inspirations to Help You Achieve Your Dreams;12/01/1994;160;3.22;eng;9;2;Honor Books
201;The Serial Killers Club;6/22/2006;279;3.22;eng;109;25;Warner Books (NY)
202;Dale Loves Sophie to Death;9/19/2001;256;3.23;eng;244;23;Back Bay Books
203;Travels in the Scriptorium;1/23/2007;145;3.23;eng;6688;562;Henry Holt & Company
204;Black Girl/White Girl;10/17/2006;288;3.23;eng;2662;290;Ecco
205;The Rule of Four;6/28/2005;450;3.23;eng;25111;1691;Dell Publishing Company
206;Plato in 90 Minutes;09/01/1996;89;3.23;eng;515;63;Ivan R. Dee Publisher
207;Stranger from the Past;9/24/1993;224;3.23;eng;29;7;Harlequin Presents
208;Fine Lines (One-Eyed Mack  #6);11/19/1995;0;3.23;eng;17;4;Random House Value Publishing
209;D.B.;07/12/2005;356;3.23;eng;53;8;Anchor Books
210;The 158-Pound Marriage;6/23/1997;176;3.24;eng;11346;280;Ballantine Books
211;The Story of Chicago May;10/01/2005;307;3.24;eng;344;59;Riverhead Books
212;Fourth of July Mice!;5/24/2004;32;3.24;eng;126;16;Clarion Books
213;The Body Artist;02/05/2002;128;3.24;eng;7201;500;Scribner
214;The Perfect Score (It's All About Attitude #5);7/25/2006;240;3.24;eng;110;9;Harlequin
215;The Big U;02/06/2001;308;3.25;eng;4657;223;William Morrow Paperbacks
216;Back to Wando Passo;5/23/2006;448;3.25;eng;202;26;William Morrow
217;Getting Results with Curriculum Mapping;11/15/2004;192;3.25;eng;55;5;ASCD
218;Love Artist (Harlequin Romance #2860);7/24/1987;187;3.25;eng;3;1;Harlequin Romance
219;Half a Life;4/23/2009;224;3.25;eng;3078;301;Vintage International
220;On the Trail of Mary  Queen of Scots;06/01/1999;192;3.25;eng;12;1;Luath Press Ltd
221;The Accidental Bodyguard (Accidental  #2);4/24/1996;192;3.25;eng;18;0;Silhouette Desire
222;Season of the Machete;04/01/1995;341;3.25;eng;5512;227;Vision
223;Firefly;03/01/1992;466;3.25;eng;2420;128;Avon Books
224;A Dubious Codicil;3/15/1991;224;3.25;eng;3;0;Random House UK Distribution
225;The Alchemist's Daughter;10/24/2006;346;3.25;eng;3565;451;Broadway Books
226;Numerical Recipes Example Book C++: The Art of Scientific Computing;02/07/2002;330;3.25;eng;4;0;Cambridge University Press
227;Earthbound;4/16/2005;223;3.25;eng;527;60;Tor Books
228;Quintessential Tarantino;10/01/2005;352;3.25;eng;50;3;Marion Boyars Publishers Ltd
229;Andrew Carnegie and the Rise of Big Business (Library of American Biography Series);03/01/2006;230;3.25;eng;28;1;Pearson
230;iMovie 4 & iDVD: The Missing Manual: The Missing Manual;8/23/2004;496;3.25;eng;4;0;Pogue Press
231;Sachs & Violens;12/06/2006;128;3.26;eng;66;9;DC Comics
232;Girls' Night In;07/03/2000;586;3.26;eng;140;11;HarperCollins
233;Brit-Think  Ameri-Think: A Transatlantic Survival Guide;2/25/2003;160;3.26;eng;269;40;Penguin Books
234;Good Faith;05/11/2004;432;3.26;eng;1837;245;Anchor Books
235;A God in Ruins;09/05/2000;517;3.26;eng;1208;104;Avon
236;The Bone Collector's Son;01/01/2004;137;3.27;eng;117;19;Two Lions
237;Dr. Desirable;1/25/2002;192;3.27;eng;20;1;Silhouette Desire
238;The Prophet of Yonwood;04/01/2006;289;3.27;eng;621;82;Random House Books for Young Readers
239;Lady of the Lake;7/25/1997;304;3.27;eng;70;6;Harlequin Historical
240;Wickett's Remedy;10/10/2006;370;3.27;eng;1557;231;Anchor Books
241;On a Dark Night I Left My Silent House;11/08/2000;186;3.27;eng;179;14;Farrar Straus Giroux
242;2006 International Building Code;03/06/2006;664;3.27;eng;11;1;International Code Council
243;Las rubias de 5th Avenue;2/28/2005;304;3.28;spa;5;0;Debolsillo
244;Malinche;02/07/2006;189;3.28;spa;99;20;Atria Books
245;Sleep  Pale Sister;8/30/2005;396;3.28;eng;2963;232;William Morrow Paperbacks
246;Malinche;05/02/2006;191;3.28;eng;3172;304;Atria Books
247;The Mistress's Daughter;04/05/2007;256;3.28;eng;3282;518;Viking
248;Planet of the Apes: The Human War;7/27/2001;72;3.28;eng;1;1;Titan Books Ltd
249;Mirror Mirror;10/01/2004;280;3.28;eng;28014;1512;Regan Books
250;Fantastic Four  Vol 5: Disassembled;01/01/2005;136;3.28;eng;192;13;Marvel Comics Group
251;Violin;01/01/2002;289;3.28;eng;15886;405;Distribooks
252;Voices From the Street;1/23/2007;301;3.29;eng;698;104;Tor Books
253;Oh  Play That Thing;10/25/2005;384;3.29;eng;1545;105;Penguin Books
254;Live Rich  Die Broke;01/01/2005;482;3.29;eng;14;2;Rodale Books
255;Northern Lights;09/01/1999;372;3.29;eng;981;69;Broadway Books
256;Fury;09/05/2002;272;3.29;eng;6711;354;Vintage
257;What Did the Constitution Mean to Early Americans? (Historians at Work);01/01/1999;169;3.29;eng;24;2;Bedford Books
258;Blubberina (Scrambled Legs  #5);10/01/1989;135;3.29;eng;13;0;Scholastic
259;No Dress Rehearsal;12/01/2000;79;3.29;eng;780;52;New Island Books
260;Serenissima aka Shylock's Daughter;03/01/1988;384;3.29;eng;282;17;Dell
261;A Streetcar Named Desire (SparkNotes Literature Guide);7/15/2002;96;3.29;eng;0;0;SparkNotes
262;The Black Tower (Philip José Farmer's The Dungeon  #1);07/01/1988;339;3.29;eng;515;19;Spectra Books
263;The Boat of Dreams: A Christmas Story;10/28/2003;111;3.29;eng;115;22;Touchstone Books
264;The Ivory Tower;2/29/2004;296;3.29;eng;57;7;NYRB Classics
265;Culture Shock! Laos (Culture Shock!);1/30/2000;220;3.29;eng;12;1;Kuperard
266;The Big Empty: Dialogues on Politics  Sex  God  Boxing  Morality  Myth  Poker & Bad Conscience in America;1/24/2006;218;3.3;eng;67;10;Nation Books
267;Setting Free the Bears;6/23/1997;304;3.3;eng;8896;217;Ballantine Books
268;Where or When;10/04/2005;241;3.3;eng;6343;551;Mariner Books
269;Wideacre  (The Wideacre Trilogy  #1);07/02/2003;656;3.3;eng;18944;1547;Washington Square Press
270;The Soloist;11/27/2006;320;3.3;eng;56;9;Counterpoint
271;A Lie and a Libel: The History of the Protocols of the Elders of Zion;08/01/1996;148;3.3;eng;8;2;University of Nebraska Press
272;Remind Me Again Why I Need A Man;05/01/2007;384;3.3;eng;689;128;Harper
273;The Valkyries;9/28/1996;212;3.31;eng;1204;79;HarperOne
274;Mini-Manual of the Urban Guerrilla;09/09/2002;66;3.31;eng;127;13;Abraham Guillen Press
275;Chosen But Free;09/01/2001;285;3.31;eng;361;43;Bethany House Publishers
276;Persuasive Communication;10/18/2002;351;3.31;eng;4;0;The Guilford Press
277;Liar's Poker: A Harry Garnish Mystery;06/01/1993;214;3.31;eng;13;1;Walker & Company
278;The Valkyries;09/06/1999;243;3.31;eng;16483;685;HarperTorch (an imprint of HarperCollins Publishers)
279;The Fourth Hand;4/29/2003;368;3.31;eng;25257;977;Fawcett Books
280;The Talking Horse and the Sad Girl and the Village Under the Sea: Poems;04/11/2006;60;3.31;eng;418;37;Vintage
281;Dumpy's Valentine;12/12/2006;24;3.31;eng;22;4;Julie Andrews Collection
282;Days: A Tangier Diary;6/13/2006;128;3.31;eng;123;16;Ecco
283;Right Livelihoods: Three Novellas;06/01/2007;240;3.31;eng;223;47;Little Brown and Company
284;Conan and the Demons of Khitai;7/25/2006;90;3.31;eng;130;16;Dark Horse Books
285;A Matter Of Trust;01/01/2000;256;3.31;eng;4;0;Kensington
286;Evermore;10/01/2006;237;3.31;eng;16;3;Arkham House Publishers
287;Atlantic Shift;3/14/2005;406;3.31;eng;138;12;Headline Review
288;How to Make Money Like a Porn Star;9/26/2006;128;3.32;eng;164;6;It Books
289;Candy;7/15/2003;279;3.32;eng;1169;95;Back Bay Books
290;Holiday Romance and Other Writings for Children;05/01/1995;368;3.32;eng;8;3;Everyman Paperback Classics
291;The Real Jimmy Carter: How Our Worst Ex-President Undermines American Foreign Policy  Coddles Dictators and Created the Party of Clinton and Kerry;3/19/2004;272;3.32;eng;33;4;Regnery Publishing
292;Baby Names for Dummies;05/01/2005;364;3.32;eng;13;7;For Dummies
293;The Colorado Kid;2/20/2006;178;3.32;eng;24611;1970;Hard Crime Case
294;Body Surfing;4/24/2007;291;3.32;eng;16371;1538;Little  Brown and Company
295;The Wise Woman;02/01/2002;640;3.32;eng;6774;529;HarperCollins Publishers
296;Dead Babies;04/03/1991;206;3.32;eng;6348;162;Vintage
297;My Perfect Life (Confessions of a Teenage Drama Queen  #2);03/03/2005;208;3.32;eng;460;39;Candlewick Press
298;Introducing Baudrillard;8/13/1997;176;3.32;eng;165;25;Icon Books
299;Port Mungo;6/14/2005;242;3.32;eng;412;36;Vintage
