titulo,fecha_publicación,num_paginas,ranking,num_votantes_libro,num_comentarios,id_idioma,id_editorial
The Boys of the Archangel Raphael: A Youth Confraternity in Florence 1411-1785,5/30/1998,498,2,1,0,eng,2094
McDougal Littell Science: Student Edition Grade 6 Earth Science 2006,4/12/2005,972,2,3,0,eng,1249
The Halloween Activity Book: Creepy Crawly Hairy Scary Things to Do,8/1/2002,32,2,1,1,eng,407
The Two Tocquevilles Father and Son,4/1/1987,254,2,1,0,eng,1628
The Earth and Its Peoples: A Global History Volume C: Since 1750,2/9/2004,370,2,1,1,eng,380
The Die Broke Financial Problem Solver,12/26/2000,272,2.33,3,0,eng,2237
Citizen Girl,10/4/2005,305,2.4,5415,577,eng,2198
Field Guide to Home Buying in America,5/15/1988,256,2.5,4,1,eng,2029
The Trouble with the Pears: An Intimate Portrait of Erzsebet Bathory,2/14/2006,272,2.55,33,7,eng,162
A Matter of Trust,12/23/1994,224,2.61,36,5,eng,872
Planet of the Apes Volume 1: Old Gods,3/5/2002,80,2.62,8,2,eng,503
Healthy Cooking for IBS: 100 Delicious Recipes to Keep You Symptom-Free,4/1/2006,144,2.62,2,1,eng,929
13th Directorate,2/28/1989,0,2.62,8,1,eng,1061
The Governess,9/26/2005,132,2.63,242,6,eng,334
Mind Over Money: How to Match Your Emotional Style to a Winning Financial Strategy,1/1/1998,260,2.67,3,1,eng,1173
The Birds (Methuen Drama),7/22/2002,96,2.67,3,1,eng,296
In Web Design for Libraries,12/1/2006,196,2.67,9,2,eng,1146
Juneau and Sauk Counties: 1850-2000 (Images of America: Wisconsin),3/5/2002,128,2.67,3,0,eng,111
Alentejo Blue,6/20/2006,304,2.72,788,104,eng,1801
Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4,4/5/2004,24,2.75,4,1,eng,2166
Introduction to the Philosophies of Research and Criticism in Education and the Social Sciences,10/18/2004,360,2.75,4,1,eng,1484
Raised on Rock: Growing Up at Graceland,12/1/1931,192,2.75,4,0,eng,2033
Bright Star's Promise,7/1/1994,444,2.77,13,3,eng,2271
Yellow Dog,1/4/2005,352,2.79,1449,94,eng,2139
Cliffs Notes on Aristophanes' Lysistrata The Birds The Clouds The Frogs,12/29/1983,80,2.8,5,0,eng,428
Ewan McGregor: From Junkie to Jedi,5/5/1999,144,2.8,10,1,eng,1579
You Don't Love Me Yet,5/29/2007,225,2.81,3854,547,eng,590
Four Blondes,6/8/2001,256,2.82,23409,877,eng,824
Lost,9/17/2002,340,2.82,13152,904,eng,2237
Challengers of the Unknown: Stolen Moments Borrowed Time,3/29/2006,144,2.82,44,8,eng,519
Cliffs Notes on Hemingway's The Old Man and the Sea,12/5/2000,80,2.83,4,0,eng,428
American Government: Continuity and Change Alternate Edition,3/11/2005,664,2.83,0,0,eng,1192
American Government: Continuity and Change,3/4/2005,792,2.83,1,0,eng,1192
American Government: Continuity and Change Texas Edition,5/26/2005,1088,2.83,0,0,eng,1192
Teleportation: From Star Trek to Tesla,8/20/2012,139,2.83,2,1,eng,1036
P.S. I Love You (Sealed with a Kiss #4),4/24/1995,192,2.83,23,1,eng,874
The Parrot-Head Companion: An Insider's Guide to Jimmy Buffett,1/1/1998,176,2.83,6,0,eng,415
The Thomas Berryman Number,4/1/1996,272,2.86,4320,307,eng,10
Desire and Duty: A Sequel to Jane Austen's Pride and Prejudice,2/1/1997,286,2.86,114,9,eng,1714
The Diagnosis,2/19/2002,384,2.86,898,123,eng,2139
Up in the Air,9/24/2002,320,2.86,3504,490,eng,94
Lair of the White Worm,10/1/2002,120,2.86,2276,244,eng,548
Divorcio a la Francesa: Le Divorce,6/1/2003,388,2.88,6,0,spa,1776
Le Divorce,7/1/2003,320,2.88,3602,295,eng,1581
Checkpoint,4/12/2005,128,2.88,654,60,eng,2139
Queen of the Underworld,1/30/2007,368,2.89,541,100,eng,189
Planet of the Apes: The Fall,6/4/2002,288,2.92,53,2,eng,911
Children of the Thunder / The Tides of Time / The Crucible of Time,5/3/1995,800,2.92,11,1,eng,2239
Secret Identity (Lost #2),1/1/2006,176,2.93,195,11,eng,2165
Zelda's Cut,2/1/2001,432,2.94,65,12,eng,905
The Doctor's House,2/11/2003,288,2.96,164,23,eng,1800
Judge Dredd (Audio Cassette),7/1/1995,0,2.96,6,0,eng,1665
The Guide to Dan Brown's the Solomon Key,9/30/2005,183,2.98,34,2,eng,556
Mistaken Identity,12/30/2016,324,2.98,0,0,eng,884
Dinner with Anna Karenina,1/28/2006,360,2.99,411,65,eng,1291
Verserade tankar,9/1/1999,128,3,1,0,swe,62
Theocritus: Select Poems: Select Poems,6/1/1991,395,3,1,1,grc,330
Phaedrus/Apology/Crito/Symposium,1/1/2006,144,3,19,0,eng,565
New Media Language,5/22/2003,209,3,2,0,eng,1740
Return to the Planet of the Apes #2: Escape from Terror Lagoon,4/12/1976,0,3,10,2,eng,189
The Toy Maker: The Life and Times of Inventor Frank Hornby,8/1/2004,352,3,1,1,eng,620
Cypress Gardens (Images of America: Florida),11/27/2006,128,3,5,1,eng,112
Aristotle's Ethics (SparkNotes Literature Guides),6/13/2003,80,3,2,0,eng,1888
Selections from the Oakland Tribune Archives (Images of America: California),10/30/2006,128,3,2,1,eng,112
C++ Programmer's Notebook,8/16/2001,528,3,3,0,eng,1615
A Free Enquiry Into the Vulgarly Received Notion of Nature,7/11/1996,212,3,2,0,eng,353
Sukhoi Su-27 Flanker (WarbirdTech #42),4/1/2006,104,3,6,0,eng,1890
The Work of Work Servitude Slavery and Labor in Medieval England,8/14/1994,240,3,1,0,eng,490
Magical Creatures (Easy To Read! Easy To Draw!),10/27/2003,48,3,1,0,eng,1624
Proof of Concept,1/18/2005,134,3,6,1,eng,49
Turn of the Cards,5/12/1979,0,3,3,1,eng,702
My Dirty Thirties: Romantic Hedonism,7/1/2004,144,3,8,1,eng,1365
Flirting With Danger,6/1/1996,188,3,12,4,eng,866
The Easter Rabbit's Parade,1/27/2004,40,3,29,7,eng,1667
Nightingale's Song,10/19/2006,219,3.02,40,5,eng,838
Closing Time,7/1/2003,464,3.02,106,9,eng,1851
The Diviners,1/2/2007,592,3.03,508,65,eng,182
The White Widow,5/19/2000,224,3.04,181,19,eng,1636
In the Kitchen with Rosie: Oprah's Favorite Recipes,4/16/1994,142,3.04,767,31,eng,1102
El Diablo Cojuelo,1/11/2007,192,3.06,13,2,spa,373
Bite Club (Bite Club #1),4/20/2005,144,3.07,148,12,eng,2124
Black Veil: A Memoir with Digressions,5/6/2002,336,3.07,402,38,eng,1173
Garden State,8/19/2002,212,3.07,714,49,eng,2291
The Wind Done Gone,4/8/2002,224,3.07,1698,283,eng,1232
The Jane Austen Book Club,4/26/2005,288,3.08,57720,3535,eng,765
Wind Child,7/1/1990,331,3.08,13,1,eng,1586
"Natural Cures ""They"" Don't Want You to Know about",1/1/2004,571,3.09,1601,284,eng,75
Cliffs Notes on Woolf's Mrs. Dalloway,12/12/2003,72,3.09,10,2,eng,428
The Coming,11/1/2001,278,3.09,690,71,eng,28
The Truth of the Matter,11/3/2006,352,3.09,194,40,eng,182
The 3-Hour Diet: On the Go,10/18/2005,192,3.1,31,2,eng,2237
The Big Bing: Black Holes of Time Management Gaseous Executive Bodies Exploding Careers and Other Theories on the Origins of the Business Universe,1/3/2006,368,3.11,27,6,eng,883
True Story,10/1/2005,304,3.11,199,28,eng,1864
Billy Budd Sailor and Other Uncompleted Writings,12/15/2007,1016,3.11,9,1,eng,1393
1848: The Revolution of the Intellectuals,3/12/1992,144,3.11,15,0,eng,331
Manshape,9/28/1982,159,3.11,34,5,eng,518
Billy Budd Sailor and Other Uncompleted Writings: The Writings of Herman Melville Volume 13,9/15/2017,1016,3.11,0,0,eng,1392
Billy Budd marin,5/14/1987,182,3.12,9,0,fre,771
Africa South of the Sahara: A Geographical Interpretation (Texts In Regional Geography),5/4/2004,479,3.12,8,0,eng,1976
The Twenty-Seventh City,5/1/2003,528,3.12,125,17,eng,905
The Twenty-Seventh City,9/8/2001,528,3.12,3621,330,eng,1558
CliffsNotes on Faulkner's Absalom Absalom!,2/28/1964,64,3.12,8,1,eng,428
Billy Budd Sailor,9/1/2001,230,3.12,228,26,eng,2076
Billy Budd Sailor,8/1/2006,160,3.12,12599,687,eng,1864
Underworld Unleashed,4/1/1998,176,3.12,111,6,eng,519
Red Message,4/1/1986,320,3.12,8,2,eng,170
Mighty Love,2/1/2005,96,3.12,51,3,eng,519
The Franklin Affair,6/13/2006,208,3.12,144,25,eng,1677
Billy Budd Sailor,10/24/1995,96,3.12,178,20,eng,1509
Billy Budd Sailor,3/1/1999,127,3.12,29,0,eng,2048
The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice),2/1/2006,264,3.13,37,7,eng,108
Hawkes Harbor,10/1/2005,289,3.13,2157,288,eng,2024
Magic Seeds,11/8/2005,280,3.13,715,104,eng,2139
The Mermaid Chair,3/7/2006,368,3.13,68363,5816,eng,1498
Sweet Dreams Mimi (Baby Einstein),4/1/2004,16,3.13,37,3,eng,575
Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings,7/1/1993,149,3.13,4438,301,eng,1733
Pilgrims and Other Stories,4/9/1998,288,3.13,1411,182,eng,1556
Pilgrims Pa,9/17/1998,224,3.13,10,2,eng,1232
The Castle in the Forest,1/23/2007,477,3.14,2307,351,eng,1662
A Is for Abductive : The Language of the Emerging Church,12/24/2002,338,3.14,49,3,eng,2275
Cervantes in Algiers: A Captive's Tale,6/1/2005,368,3.14,7,1,eng,2112
Complete Star Wars Trilogy Scrapbook Re-issue,10/1/2004,64,3.14,7,1,eng,1793
Going Potty,10/1/1999,64,3.14,7,1,eng,1402
Think Like a Guy: How to Get a Guy by Thinking Like One,6/27/2006,172,3.15,115,23,eng,1900
Warrior Angel,2/27/2007,354,3.15,242,28,eng,169
Exile,6/11/1997,288,3.15,159,14,eng,1800
Monkey Business: True Story of the Scopes Trial,5/15/2005,368,3.15,26,8,eng,176
The Stones of Summer,2/24/2004,586,3.15,421,110,eng,1446
El cazador de autógrafos,12/30/2003,379,3.16,11,1,spa,1767
Citas Celestiales,11/1/2006,190,3.16,1,0,spa,2064
Bad Dreams,4/25/1995,280,3.16,151,13,eng,1754
The Autograph Man,6/17/2003,347,3.16,9541,576,eng,2139
The Weekenders: Travels in the Heart of Africa,11/8/2001,340,3.16,123,12,eng,620
The Autograph Man,5/22/2003,420,3.16,535,66,eng,1509
The Mini Zen Gardening Kit,9/4/2000,40,3.16,14,1,eng,1752
The Zen Gardening Kit/Book and Japanese Rock Garden,11/23/1992,96,3.16,29,2,eng,1756
Boogaloo on 2nd Avenue,2/28/2006,319,3.17,191,26,eng,1677
When the World Was Steady,9/1/1995,270,3.17,481,58,eng,807
Freaks of the Storm: From Flying Cows to Stealing Thunder: The World's Strangest True Weather Stories,12/29/2006,371,3.17,139,25,eng,1998
Terrorist,6/6/2006,320,3.17,3490,410,eng,1102
A Song Of Stone,1/1/2009,280,3.17,78,10,eng,1172
The Little Baby Snoogle-Fleejer,11/21/1995,24,3.17,42,11,eng,483
Pledged: The Secret Life of Sororities,4/14/2004,384,3.18,245,30,eng,1018
In the Hand of Dante,9/1/2003,384,3.18,683,76,eng,182
The Castle of Otranto,3/19/2004,106,3.18,237,39,eng,596
The Castle of Otranto,7/16/1998,125,3.18,16370,1211,eng,1453
First Love: A Gothic Tale,8/21/1997,86,3.19,579,83,eng,621
Tinsel,6/15/1980,399,3.19,258,14,eng,538
The Butterfly Tattoo,9/2/2005,186,3.19,1048,83,eng,2268
This Christmas,10/1/2009,480,3.19,1153,92,eng,2271
The Long Road Back: A Survivor's Guide to Anorexia,10/1/1998,194,3.2,30,3,eng,1390
Songs of the Humpback Whale,10/1/2001,346,3.2,27590,1838,eng,2198
Conversation: A History of a Declining Art,3/11/2006,368,3.2,95,16,eng,2258
Persuasive Writing: Mini-Lessons Strategies Activities,8/1/1998,64,3.2,5,1,eng,1786
Architecture and Tourism: Perception Performance and Place,9/4/2004,320,3.2,5,1,eng,292
Serious Girls,12/1/2004,240,3.2,207,28,eng,1558
Superman: Back in Action,1/31/2007,144,3.21,140,12,eng,519
The Rosetta Codex,12/6/2005,384,3.21,22,2,eng,33
The Elements of Visual Style: The Basics of Print Design for Every PC and Mac User,5/1/2007,177,3.21,14,3,eng,1002
Ultimate Annuals Volume 2,2/7/2007,160,3.21,105,8,eng,1241
Falling Man,5/15/2007,246,3.21,10304,1092,eng,1800
Sociology in Our Times,1/1/2006,742,3.21,1,0,eng,2181
Swimming Upstream: Collaborative Approaches to Watershed Management,4/29/2005,344,3.21,13,1,eng,1979
Only Revolutions,9/12/2006,360,3.21,4791,443,eng,1467
The Radical Right & the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President,10/6/2004,615,3.22,9,0,eng,2034
The Campfire Collection: Spine-tingling Tales to Tell in the Dark,3/1/2000,176,3.22,50,6,eng,407
Cosmopolis,4/6/2004,224,3.22,460,41,eng,1800
Choke Point: A Brinker Mystery (Brinker P.I.),10/5/2004,272,3.22,3,0,eng,1901
Doctor Who: Cat's Cradle-Time's Crucible,2/20/1992,275,3.22,589,40,eng,2158
Doctor Who: Cat's Cradle-Witch Mark,6/18/1992,256,3.22,399,25,eng,2158
Don't Wait for Your Ship to Come In... Swim Out to Meet It!: Bite-Sized Inspirations to Help You Achieve Your Dreams,12/1/1994,160,3.22,9,2,eng,998
The Serial Killers Club,6/22/2006,279,3.22,109,25,eng,2193
Dale Loves Sophie to Death,9/19/2001,256,3.23,244,23,eng,182
Travels in the Scriptorium,1/23/2007,145,3.23,6688,562,eng,966
Black Girl/White Girl,10/17/2006,288,3.23,2662,290,eng,621
The Rule of Four,6/28/2005,450,3.23,25111,1691,eng,541
Plato in 90 Minutes,9/1/1996,89,3.23,515,63,eng,1058
Stranger from the Past,9/24/1993,224,3.23,29,7,eng,872
Fine Lines (One-Eyed Mack #6),11/19/1995,0,3.23,17,4,eng,1681
D.B.,7/12/2005,356,3.23,53,8,eng,96
The 158-Pound Marriage,6/23/1997,176,3.24,11346,280,eng,189
The Story of Chicago May,10/1/2005,307,3.24,344,59,eng,1721
Fourth of July Mice!,5/24/2004,32,3.24,126,16,eng,421
The Body Artist,2/5/2002,128,3.24,7201,500,eng,1800
The Perfect Score (It's All About Attitude #5),7/25/2006,240,3.24,110,9,eng,866
The Big U,2/6/2001,308,3.25,4657,223,eng,2237
Back to Wando Passo,5/23/2006,448,3.25,202,26,eng,2231
Getting Results with Curriculum Mapping,11/15/2004,192,3.25,55,5,eng,134
Love Artist (Harlequin Romance #2860),7/24/1987,187,3.25,3,1,eng,874
Half a Life,4/23/2009,224,3.25,3078,301,eng,2149
On the Trail of Mary Queen of Scots,6/1/1999,192,3.25,12,1,eng,1202
The Accidental Bodyguard (Accidental #2),4/24/1996,192,3.25,18,0,eng,1842
Season of the Machete,4/1/1995,341,3.25,5512,227,eng,2159
Firefly,3/1/1992,466,3.25,2420,128,eng,170
A Dubious Codicil,3/15/1991,224,3.25,3,0,eng,1679
The Alchemist's Daughter,10/24/2006,346,3.25,3565,451,eng,337
Numerical Recipes Example Book C++: The Art of Scientific Computing,2/7/2002,330,3.25,4,0,eng,353
Earthbound,4/16/2005,223,3.25,527,60,eng,2024
Quintessential Tarantino,10/1/2005,352,3.25,50,3,eng,1235
Andrew Carnegie and the Rise of Big Business (Library of American Biography Series),3/1/2006,230,3.25,28,1,eng,1484
iMovie 4 & iDVD: The Missing Manual: The Missing Manual,8/23/2004,496,3.25,4,0,eng,1593
Sachs & Violens,12/6/2006,128,3.26,66,9,eng,519
Girls' Night In,7/3/2000,586,3.26,140,11,eng,897
Brit-Think Ameri-Think: A Transatlantic Survival Guide,2/25/2003,160,3.26,269,40,eng,1498
Good Faith,5/11/2004,432,3.26,1837,245,eng,96
A God in Ruins,9/5/2000,517,3.26,1208,104,eng,169
The Bone Collector's Son,1/1/2004,137,3.27,117,19,eng,2056
Dr. Desirable,1/25/2002,192,3.27,20,1,eng,1842
The Prophet of Yonwood,4/1/2006,289,3.27,621,82,eng,1667
Lady of the Lake,7/25/1997,304,3.27,70,6,eng,871
Wickett's Remedy,10/10/2006,370,3.27,1557,231,eng,96
On a Dark Night I Left My Silent House,11/8/2000,186,3.27,179,14,eng,697
2006 International Building Code,3/6/2006,664,3.27,11,1,eng,1046
Las rubias de 5th Avenue,2/28/2005,304,3.28,5,0,spa,524
Malinche,2/7/2006,189,3.28,99,20,spa,152
Sleep Pale Sister,8/30/2005,396,3.28,2963,232,eng,2237
Malinche,5/2/2006,191,3.28,3172,304,eng,152
The Mistress's Daughter,4/5/2007,256,3.28,3282,518,eng,2127
Planet of the Apes: The Human War,7/27/2001,72,3.28,1,1,eng,2014
Mirror Mirror,10/1/2004,280,3.28,28014,1512,eng,1708
Fantastic Four Vol 5: Disassembled,1/1/2005,136,3.28,192,13,eng,1243
Violin,1/1/2002,289,3.28,15886,405,eng,577
Voices From the Street,1/23/2007,301,3.29,698,104,eng,2024
Oh Play That Thing,10/25/2005,384,3.29,1545,105,eng,1498
Live Rich Die Broke,1/1/2005,482,3.29,14,2,eng,1736
Northern Lights,9/1/1999,372,3.29,981,69,eng,337
Fury,9/5/2002,272,3.29,6711,354,eng,2139
What Did the Constitution Mean to Early Americans? (Historians at Work),1/1/1999,169,3.29,24,2,eng,243
Blubberina (Scrambled Legs #5),10/1/1989,135,3.29,13,0,eng,1786
No Dress Rehearsal,12/1/2000,79,3.29,780,52,eng,1358
Serenissima aka Shylock's Daughter,3/1/1988,384,3.29,282,17,eng,538
A Streetcar Named Desire (SparkNotes Literature Guide),7/15/2002,96,3.29,0,0,eng,1888
The Black Tower (Philip José Farmer's The Dungeon #1),7/1/1988,339,3.29,515,19,eng,1892
The Boat of Dreams: A Christmas Story,10/28/2003,111,3.29,115,22,eng,2030
The Ivory Tower,2/29/2004,296,3.29,57,7,eng,1401
Culture Shock! Laos (Culture Shock!),1/30/2000,220,3.29,12,1,eng,1114
The Big Empty: Dialogues on Politics Sex God Boxing Morality Myth Poker & Bad Conscience in America,1/24/2006,218,3.3,67,10,eng,1337
Setting Free the Bears,6/23/1997,304,3.3,8896,217,eng,189
Where or When,10/4/2005,241,3.3,6343,551,eng,1232
Wideacre (The Wideacre Trilogy #1),7/2/2003,656,3.3,18944,1547,eng,2198
The Soloist,11/27/2006,320,3.3,56,9,eng,469
A Lie and a Libel: The History of the Protocols of the Elders of Zion,8/1/1996,148,3.3,8,2,eng,2084
Remind Me Again Why I Need A Man,5/1/2007,384,3.3,689,128,eng,879
The Valkyries,9/28/1996,212,3.31,1204,79,eng,914
Mini-Manual of the Urban Guerrilla,9/9/2002,66,3.31,127,13,eng,21
Chosen But Free,9/1/2001,285,3.31,361,43,eng,266
Persuasive Communication,10/18/2002,351,3.31,4,0,eng,1976
Liar's Poker: A Harry Garnish Mystery,6/1/1993,214,3.31,13,1,eng,2184
The Valkyries,9/6/1999,243,3.31,16483,685,eng,924
The Fourth Hand,4/29/2003,368,3.31,25257,977,eng,701
The Talking Horse and the Sad Girl and the Village Under the Sea: Poems,4/11/2006,60,3.31,418,37,eng,2139
Dumpy's Valentine,12/12/2006,24,3.31,22,4,eng,1082
Days: A Tangier Diary,6/13/2006,128,3.31,123,16,eng,621
Right Livelihoods: Three Novellas,6/1/2007,240,3.31,223,47,eng,1173
Conan and the Demons of Khitai,7/25/2006,90,3.31,130,16,eng,502
A Matter Of Trust,1/1/2000,256,3.31,4,0,eng,1090
Evermore,10/1/2006,237,3.31,16,3,eng,121
Atlantic Shift,3/14/2005,406,3.31,138,12,eng,953
How to Make Money Like a Porn Star,9/26/2006,128,3.32,164,6,eng,1054
Candy,7/15/2003,279,3.32,1169,95,eng,182
Holiday Romance and Other Writings for Children,5/1/1995,368,3.32,8,3,eng,668
The Real Jimmy Carter: How Our Worst Ex-President Undermines American Foreign Policy Coddles Dictators and Created the Party of Clinton and Kerry,3/19/2004,272,3.32,33,4,eng,1711
Baby Names for Dummies,5/1/2005,364,3.32,13,7,eng,742
The Colorado Kid,2/20/2006,178,3.32,24611,1970,eng,864
Body Surfing,4/24/2007,291,3.32,16371,1538,eng,1173
The Wise Woman,2/1/2002,640,3.32,6774,529,eng,905
Dead Babies,4/3/1991,206,3.32,6348,162,eng,2139
My Perfect Life (Confessions of a Teenage Drama Queen #2),3/3/2005,208,3.32,460,39,eng,357
Introducing Baudrillard,8/13/1997,176,3.32,165,25,eng,1023
Port Mungo,6/14/2005,242,3.32,412,36,eng,2139
A Mulligan for Bobby Jobe: A Novel,5/7/2002,400,3.32,58,9,eng,888
Intuition,3/13/2007,385,3.32,3248,590,eng,561
Loveless Vol. 1: A Kin of Homecoming,5/1/2006,128,3.32,516,52,eng,2123
Symptomatic,2/1/2005,220,3.32,523,65,eng,1721
Forbidden Love (Sweet Valley High #34),1/1/1987,138,3.32,5,0,eng,196
Story of O (Story of O #1),5/12/1981,199,3.32,12840,997,eng,189
Story of O,5/8/1998,224,3.32,446,52,eng,1755
The Complete Idiot's Guide to Business Plans,10/4/2005,314,3.32,16,4,eng,79
Paper Money,3/1/1996,286,3.32,102,17,eng,1220
L'Épée de Darwin,11/20/2002,436,3.33,3,0,fre,639
Key Topics in Conservation Biology,1/1/2006,307,3.33,3,0,eng,2226
Melville and the politics of identity: From *King Lear* to *Moby-Dick*,7/1/1993,164,3.33,0,0,eng,2079
Limitations (Kindle County Legal Thriller #7),11/14/2006,208,3.33,1750,228,eng,1556
Sky's Pride and Joy (Bachelor Gulch #8),11/24/2000,192,3.33,3,0,eng,1843
Talk to the Hand: The Utter Bloody Rudeness of Everyday Life,10/24/2005,214,3.33,204,30,eng,1630
Return to the Planet of the Apes: Visions from Nowhere,6/1/1976,183,3.33,12,1,eng,189
Across the River and into the Trees,4/15/1998,272,3.33,5546,342,eng,1800
The Pyramid,7/22/1997,217,3.33,527,20,eng,2291
The Adventuress,9/1/2006,144,3.33,1058,148,eng,22
Turing and the Universal Machine: The Making of the Modern Computer,4/23/1997,153,3.33,56,6,eng,2028
Valparaiso,4/1/2004,107,3.33,383,21,eng,1462
Self-Made Man: One Woman's Journey Into Manhood and Back Again,1/19/2006,290,3.33,4104,656,eng,2129
Treasure Box,10/1/1997,384,3.33,3646,189,eng,879
Interlopers,5/1/2001,313,3.33,269,23,eng,28
In Custody,8/1/1994,204,3.33,1021,81,eng,1509
Control Freak (SVH Senior Year #35),11/13/2001,192,3.33,120,1,eng,193
I Don't Know How She Does It (Kate Reddy #1),8/26/2003,368,3.33,16763,1420,eng,96
I Don't Know How She Does It (Kate Reddy #1),5/1/2003,368,3.33,214,25,eng,2139
Dear Genius...: A Memoir of My Life with Truman Capote,12/1/1987,275,3.33,36,6,eng,1252
Maggie: A Girl of the Streets and Other Short Fiction,11/1/2006,240,3.33,517,37,eng,200
Man Walks Into a Room,11/11/2003,248,3.33,5422,554,eng,96
Selections from Don Quixote - Selecciones de Don Quijote de la Mancha,12/23/1998,288,3.34,26,0,mul,596
Criss Cross,8/30/2005,337,3.34,7752,1056,eng,817
Phantom Pain,5/15/2004,288,3.34,406,11,eng,1442
Power of an Hour: Business and Life Mastery in One Hour a Week,5/19/2006,205,3.34,174,16,eng,2222
The Treasure Hunt: A Little Bill Book,9/1/1997,40,3.34,364,18,eng,370
My Movie Business: A Memoir,10/10/2000,222,3.34,1113,60,eng,189
Zombie,9/1/1996,181,3.34,6028,821,eng,1581
Rings of Ice,11/1/1987,191,3.34,403,23,eng,170
The Younger Gods (The Dreamers #4),3/1/2007,420,3.34,4541,85,eng,10
Deception,1/17/2006,208,3.34,1524,118,eng,2139
Your Best Friend's Boyfriend (Follow Your Heart #1),1/1/2006,240,3.34,49,5,eng,1793
Scratch the Surface (A Cat Lover's Mystery #1),7/5/2006,288,3.34,23,2,eng,252
My Movie Business,10/5/2000,158,3.34,27,2,eng,280
Bound In Blood: The Erotic Journey of a Vampire,5/1/2001,352,3.35,71,10,eng,1090
I Should Be Extremely Happy in Your Company: A Novel of Lewis and Clark,12/30/2003,432,3.35,339,76,eng,1492
The Water-Method Man,6/23/1997,272,3.35,10479,251,eng,189
Gulliver's Travels,1/29/2008,64,3.35,13,3,eng,2109
The Mysterious Flame of Queen Loana,6/5/2006,480,3.35,8263,624,eng,1232
The Dark Arena,5/1/2001,288,3.35,1554,54,eng,189
The Soft Machine (The Nova Trilogy #1),1/13/1994,184,3.35,5892,204,eng,824
The Girl With The Golden Eyes,6/17/2004,72,3.35,801,56,eng,1094
Demon Rumm,11/29/2005,230,3.35,3122,144,eng,193
Star Wars: Underworld - The Yavin Vassilika,10/16/2001,120,3.35,83,6,eng,502
El Paso,7/15/1999,256,3.35,23,4,eng,1903
The Red Badge of Courage and Four Stories,2/1/1997,240,3.35,265,29,eng,1838
Starting Over (Sweet Valley High #33),12/1/1986,153,3.35,3,0,eng,196
Blue Angel,2/28/2006,314,3.35,2948,383,eng,888
Seven Sunny Days,4/26/2005,352,3.35,588,30,eng,1703
Os libros arden mal,6/24/2006,741,3.36,36,2,glg,2291
Marilyn Manson,4/15/1998,192,3.36,116,5,eng,1900
