id,titulo,fecha_publicación,num_páginas,ranking,num_votantes_libro,num_comentarios,Id_idioma,id_editorial
59,Challengers of the Unknown: Stolen Moments Borrowed Time,3/29/2006,144,2.82,44,8,eng,519
60,Cliffs Notes on Hemingway's The Old Man and the Sea,12/5/2000,80,2.83,4,0,eng,428
61,American Government: Continuity and Change Alternate Edition,3/11/2005,664,2.83,0,0,eng,1191
62,American Government: Continuity and Change,3/4/2005,792,2.83,1,0,eng,1191
63,American Government: Continuity and Change Texas Edition,5/26/2005,1088,2.83,0,0,eng,1191
64,Teleportation: From Star Trek to Tesla,8/20/2012,139,2.83,2,1,eng,1036
65,P.S. I Love You (Sealed with a Kiss #4),4/24/1995,192,2.83,23,1,eng,866
66,The Parrot-Head Companion: An Insider's Guide to Jimmy Buffett,1/1/1998,176,2.83,6,0,eng,414
67,The Thomas Berryman Number,4/1/1996,272,2.86,4320,307,eng,10
68,Desire and Duty: A Sequel to Jane Austen's Pride and Prejudice,2/1/1997,286,2.86,114,9,eng,1714
69,The Diagnosis,2/19/2002,384,2.86,898,123,eng,2139
70,Up in the Air,9/24/2002,320,2.86,3504,490,eng,94
71,Lair of the White Worm,10/1/2002,120,2.86,2276,244,eng,547
72,Divorcio a la Francesa: Le Divorce,6/1/2003,388,2.88,6,0,spa,1776
73,Le Divorce,7/1/2003,320,2.88,3602,295,eng,1581
74,Checkpoint,4/12/2005,128,2.88,654,60,eng,2139
75,Queen of the Underworld,1/30/2007,368,2.89,541,100,eng,188
76,Planet of the Apes: The Fall,6/4/2002,288,2.92,53,2,eng,879
77,Children of the Thunder / The Tides of Time / The Crucible of Time,5/3/1995,800,2.92,11,1,eng,2239
78,Secret Identity (Lost #2),1/1/2006,176,2.93,195,11,eng,2165
79,Zelda's Cut,2/1/2001,432,2.94,65,12,eng,437
80,The Doctor's House,2/11/2003,288,2.96,164,23,eng,1800
81,Judge Dredd (Audio Cassette),7/1/1995,0,2.96,6,0,eng,1658
82,The Guide to Dan Brown's the Solomon Key,9/30/2005,183,2.98,34,2,eng,556
83,Mistaken Identity,12/30/2016,324,2.98,0,0,eng,437
84,Dinner with Anna Karenina,1/28/2006,360,2.99,411,65,eng,1289
85,Verserade tankar,9/1/1999,128,3,1,0,swe,62
86,Theocritus: Select Poems: Select Poems,6/1/1991,395,3,1,1,grc,330
87,Phaedrus/Apology/Crito/Symposium,1/1/2006,144,3,19,0,eng,565
88,New Media Language,5/22/2003,209,3,2,0,eng,1740
89,Return to the Planet of the Apes #2: Escape from Terror Lagoon,4/12/1976,0,3,10,2,eng,188
90,The Toy Maker: The Life and Times of Inventor Frank Hornby,8/1/2004,352,3,1,1,eng,620
91,Cypress Gardens (Images of America: Florida),11/27/2006,128,3,5,1,eng,111
92,Aristotle's Ethics (SparkNotes Literature Guides),6/13/2003,80,3,2,0,eng,1888
93,Selections from the Oakland Tribune Archives (Images of America: California),10/30/2006,128,3,2,1,eng,111
94,C++ Programmer's Notebook,8/16/2001,528,3,3,0,eng,1613
95,A Free Enquiry Into the Vulgarly Received Notion of Nature,7/11/1996,212,3,2,0,eng,353
96,Sukhoi Su-27 Flanker (WarbirdTech #42),4/1/2006,104,3,6,0,eng,1890
97,The Work of Work Servitude Slavery and Labor in Medieval England,8/14/1994,240,3,1,0,eng,490
98,Magical Creatures (Easy To Read! Easy To Draw!),10/27/2003,48,3,1,0,eng,1624
99,Proof of Concept,1/18/2005,134,3,6,1,eng,49
100,Turn of the Cards,5/12/1979,0,3,3,1,eng,700
101,My Dirty Thirties: Romantic Hedonism,7/1/2004,144,3,8,1,eng,1365
102,Flirting With Danger,6/1/1996,188,3,12,4,eng,866
103,The Easter Rabbit's Parade,1/27/2004,40,3,29,7,eng,1658
104,Nightingale's Song,10/19/2006,219,3.02,40,5,eng,836
105,Closing Time,7/1/2003,464,3.02,106,9,eng,1850
106,The Diviners,1/2/2007,592,3.03,508,65,eng,181
107,The White Widow,5/19/2000,224,3.04,181,19,eng,1636
108,In the Kitchen with Rosie: Oprah's Favorite Recipes,4/16/1994,142,3.04,767,31,eng,1102
109,El Diablo Cojuelo,1/11/2007,192,3.06,13,2,spa,373
110,Bite Club (Bite Club #1),4/20/2005,144,3.07,148,12,eng,519
111,Black Veil: A Memoir with Digressions,5/6/2002,336,3.07,402,38,eng,1172
113,The Wind Done Gone,4/8/2002,224,3.07,1698,283,eng,1232
114,The Jane Austen Book Club,4/26/2005,288,3.08,57720,3535,eng,765
115,Wind Child,7/1/1990,331,3.08,13,1,eng,1585
116,"Natural Cures ""They"" Don't Want You to Know about",1/1/2004,571,3.09,1601,284,eng,75
117,Cliffs Notes on Woolf's Mrs. Dalloway,12/12/2003,72,3.09,10,2,eng,428
118,The Coming,11/1/2001,278,3.09,690,71,eng,28
119,The Truth of the Matter,11/3/2006,352,3.09,194,40,eng,181
120,The 3-Hour Diet: On the Go,10/18/2005,192,3.1,31,2,eng,1317
121,The Big Bing: Black Holes of Time Management Gaseous Executive Bodies Exploding Careers and Other Theories on the Origins of the Business Universe,1/3/2006,368,3.11,27,6,eng,879
122,True Story,10/1/2005,304,3.11,199,28,eng,1864
123,Billy Budd Sailor and Other Uncompleted Writings,12/15/2007,1016,3.11,9,1,eng,1393
124,1848: The Revolution of the Intellectuals,3/12/1992,144,3.11,15,0,eng,331
125,Manshape,9/28/1982,159,3.11,34,5,eng,511
126,Billy Budd Sailor and Other Uncompleted Writings: The Writings of Herman Melville Volume 13,9/15/2017,1016,3.11,0,0,eng,1392
127,Billy Budd marin,5/14/1987,182,3.12,9,0,fre,771
128,Africa South of the Sahara: A Geographical Interpretation (Texts In Regional Geography),5/4/2004,479,3.12,8,0,eng,1976
129,The Twenty-Seventh City,5/1/2003,528,3.12,125,17,eng,437
130,The Twenty-Seventh City,9/8/2001,528,3.12,3621,330,eng,1556
131,CliffsNotes on Faulkner's Absalom Absalom!,2/28/1964,64,3.12,8,1,eng,428
132,Billy Budd Sailor,9/1/2001,230,3.12,228,26,eng,2076
133,Billy Budd Sailor,8/1/2006,160,3.12,12599,687,eng,1864
134,Underworld Unleashed,4/1/1998,176,3.12,111,6,eng,519
135,Red Message,4/1/1986,320,3.12,8,2,eng,169
136,Mighty Love,2/1/2005,96,3.12,51,3,eng,519
137,The Franklin Affair,6/13/2006,208,3.12,144,25,eng,1658
138,Billy Budd Sailor,10/24/1995,96,3.12,178,20,eng,1492
139,Billy Budd Sailor,3/1/1999,127,3.12,29,0,eng,2047
140,The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice),2/1/2006,264,3.13,37,7,eng,108
141,Hawkes Harbor,10/1/2005,289,3.13,2157,288,eng,2023
142,Magic Seeds,11/8/2005,280,3.13,715,104,eng,2139
143,The Mermaid Chair,3/7/2006,368,3.13,68363,5816,eng,1492
144,Sweet Dreams Mimi (Baby Einstein),4/1/2004,16,3.13,37,3,eng,575
145,Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings,7/1/1993,149,3.13,4438,301,eng,1731
146,Pilgrims and Other Stories,4/9/1998,288,3.13,1411,182,eng,1556
147,Pilgrims Pa,9/17/1998,224,3.13,10,2,eng,1232
148,The Castle in the Forest,1/23/2007,477,3.14,2307,351,eng,1658
149,A Is for Abductive : The Language of the Emerging Church,12/24/2002,338,3.14,49,3,eng,2275
150,Cervantes in Algiers: A Captive's Tale,6/1/2005,368,3.14,7,1,eng,2112
151,Complete Star Wars Trilogy Scrapbook Re-issue,10/1/2004,64,3.14,7,1,eng,1786
152,Going Potty,10/1/1999,64,3.14,7,1,eng,1402
153,Think Like a Guy: How to Get a Guy by Thinking Like One,6/27/2006,172,3.15,115,23,eng,820
154,Warrior Angel,2/27/2007,354,3.15,242,28,eng,169
155,Exile,6/11/1997,288,3.15,159,14,eng,1800
156,Monkey Business: True Story of the Scopes Trial,5/15/2005,368,3.15,26,8,eng,176
157,The Stones of Summer,2/24/2004,586,3.15,421,110,eng,1446
158,El cazador de autÃ³grafos,12/30/2003,379,3.16,11,1,spa,1767
159,Citas Celestiales,11/1/2006,190,3.16,1,0,spa,2064
160,Bad Dreams,4/25/1995,280,3.16,151,13,eng,1754
161,The Autograph Man,6/17/2003,347,3.16,9541,576,eng,2139
162,The Weekenders: Travels in the Heart of Africa,11/8/2001,340,3.16,123,12,eng,620
163,The Autograph Man,5/22/2003,420,3.16,535,66,eng,1492
164,The Mini Zen Gardening Kit,9/4/2000,40,3.16,14,1,eng,1752
165,The Zen Gardening Kit/Book and Japanese Rock Garden,11/23/1992,96,3.16,29,2,eng,1754
166,Boogaloo on 2nd Avenue,2/28/2006,319,3.17,191,26,eng,1658
167,When the World Was Steady,9/1/1995,270,3.17,481,58,eng,807
168,Freaks of the Storm: From Flying Cows to Stealing Thunder: The World's Strangest True Weather Stories,12/29/2006,371,3.17,139,25,eng,1998
169,Terrorist,6/6/2006,320,3.17,3490,410,eng,1102
170,A Song Of Stone,1/1/2009,280,3.17,78,10,eng,1172
171,The Little Baby Snoogle-Fleejer,11/21/1995,24,3.17,42,11,eng,483
172,Pledged: The Secret Life of Sororities,4/14/2004,384,3.18,245,30,eng,1017
173,In the Hand of Dante,9/1/2003,384,3.18,683,76,eng,181
174,The Castle of Otranto,3/19/2004,106,3.18,237,39,eng,596
175,The Castle of Otranto,7/16/1998,125,3.18,16370,1211,eng,1453
176,First Love: A Gothic Tale,8/21/1997,86,3.19,579,83,eng,621
177,Tinsel,6/15/1980,399,3.19,258,14,eng,538
178,The Butterfly Tattoo,9/2/2005,186,3.19,1048,83,eng,1556
179,This Christmas,10/1/2009,480,3.19,1153,92,eng,2271
180,The Long Road Back: A Survivor's Guide to Anorexia,10/1/1998,194,3.2,30,3,eng,1390
181,Songs of the Humpback Whale,10/1/2001,346,3.2,27590,1838,eng,2198
182,Conversation: A History of a Declining Art,3/11/2006,368,3.2,95,16,eng,2258
183,Persuasive Writing: Mini-Lessons Strategies Activities,8/1/1998,64,3.2,5,1,eng,1786
184,Architecture and Tourism: Perception Performance and Place,9/4/2004,320,3.2,5,1,eng,289
185,Serious Girls,12/1/2004,240,3.2,207,28,eng,1556
186,Superman: Back in Action,1/31/2007,144,3.21,140,12,eng,519
187,The Rosetta Codex,12/6/2005,384,3.21,22,2,eng,28
188,The Elements of Visual Style: The Basics of Print Design for Every PC and Mac User,5/1/2007,177,3.21,14,3,eng,854
189,Ultimate Annuals Volume 2,2/7/2007,160,3.21,105,8,eng,1241
190,Falling Man,5/15/2007,246,3.21,10304,1092,eng,1800
191,Sociology in Our Times,1/1/2006,742,3.21,1,0,eng,2181
192,Swimming Upstream: Collaborative Approaches to Watershed Management,4/29/2005,344,3.21,13,1,eng,1296
193,Only Revolutions,9/12/2006,360,3.21,4791,443,eng,1458
194,The Radical Right & the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President,10/6/2004,615,3.22,9,0,eng,2034
195,The Campfire Collection: Spine-tingling Tales to Tell in the Dark,3/1/2000,176,3.22,50,6,eng,407
196,Cosmopolis,4/6/2004,224,3.22,460,41,eng,1800
197,Choke Point: A Brinker Mystery (Brinker P.I.),10/5/2004,272,3.22,3,0,eng,1899
198,Doctor Who: Cat's Cradle-Time's Crucible,2/20/1992,275,3.22,589,40,eng,2158
199,Doctor Who: Cat's Cradle-Witch Mark,6/18/1992,256,3.22,399,25,eng,2158
200,Don't Wait for Your Ship to Come In... Swim Out to Meet It!: Bite-Sized Inspirations to Help You Achieve Your Dreams,12/1/1994,160,3.22,9,2,eng,998
201,The Serial Killers Club,6/22/2006,279,3.22,109,25,eng,2189
202,Dale Loves Sophie to Death,9/19/2001,256,3.23,244,23,eng,181
203,Travels in the Scriptorium,1/23/2007,145,3.23,6688,562,eng,965
204,Black Girl/White Girl,10/17/2006,288,3.23,2662,290,eng,621
205,The Rule of Four,6/28/2005,450,3.23,25111,1691,eng,538
206,Plato in 90 Minutes,9/1/1996,89,3.23,515,63,eng,1056
207,Stranger from the Past,9/24/1993,224,3.23,29,7,eng,866
208,Fine Lines (One-Eyed Mack #6),11/19/1995,0,3.23,17,4,eng,1658
209,D.B.,7/12/2005,356,3.23,53,8,eng,94
210,The 158-Pound Marriage,6/23/1997,176,3.24,11346,280,eng,188
211,The Story of Chicago May,10/1/2005,307,3.24,344,59,eng,1721
212,Fourth of July Mice!,5/24/2004,32,3.24,126,16,eng,421
213,The Body Artist,2/5/2002,128,3.24,7201,500,eng,1800
214,The Perfect Score (It's All About Attitude #5),7/25/2006,240,3.24,110,9,eng,866
215,The Big U,2/6/2001,308,3.25,4657,223,eng,1317
216,Back to Wando Passo,5/23/2006,448,3.25,202,26,eng,1317
217,Getting Results with Curriculum Mapping,11/15/2004,192,3.25,55,5,eng,134
218,Love Artist (Harlequin Romance #2860),7/24/1987,187,3.25,3,1,eng,866
219,Half a Life,4/23/2009,224,3.25,3078,301,eng,2139
220,On the Trail of Mary Queen of Scots,6/1/1999,192,3.25,12,1,eng,1202
221,The Accidental Bodyguard (Accidental #2),4/24/1996,192,3.25,18,0,eng,1839
222,Season of the Machete,4/1/1995,341,3.25,5512,227,eng,2159
223,Firefly,3/1/1992,466,3.25,2420,128,eng,169
224,A Dubious Codicil,3/15/1991,224,3.25,3,0,eng,1658
225,The Alchemist's Daughter,10/24/2006,346,3.25,3565,451,eng,336
226,Numerical Recipes Example Book C++: The Art of Scientific Computing,2/7/2002,330,3.25,4,0,eng,353
227,Earthbound,4/16/2005,223,3.25,527,60,eng,2023
228,Quintessential Tarantino,10/1/2005,352,3.25,50,3,eng,1234
229,Andrew Carnegie and the Rise of Big Business (Library of American Biography Series),3/1/2006,230,3.25,28,1,eng,1484
230,iMovie 4 & iDVD: The Missing Manual: The Missing Manual,8/23/2004,496,3.25,4,0,eng,1593
231,Sachs & Violens,12/6/2006,128,3.26,66,9,eng,519
232,Girls' Night In,7/3/2000,586,3.26,140,11,eng,437
233,Brit-Think Ameri-Think: A Transatlantic Survival Guide,2/25/2003,160,3.26,269,40,eng,1492
234,Good Faith,5/11/2004,432,3.26,1837,245,eng,94
235,A God in Ruins,9/5/2000,517,3.26,1208,104,eng,169
236,The Bone Collector's Son,1/1/2004,137,3.27,117,19,eng,1156
237,Dr. Desirable,1/25/2002,192,3.27,20,1,eng,1839
238,The Prophet of Yonwood,4/1/2006,289,3.27,621,82,eng,1658
239,Lady of the Lake,7/25/1997,304,3.27,70,6,eng,866
240,Wickett's Remedy,10/10/2006,370,3.27,1557,231,eng,94
241,On a Dark Night I Left My Silent House,11/8/2000,186,3.27,179,14,eng,697
242,2006 International Building Code,3/6/2006,664,3.27,11,1,eng,1046
243,Las rubias de 5th Avenue,2/28/2005,304,3.28,5,0,spa,524
244,Malinche,2/7/2006,189,3.28,99,20,spa,152
245,Sleep Pale Sister,8/30/2005,396,3.28,2963,232,eng,1317
246,Malinche,5/2/2006,191,3.28,3172,304,eng,152
247,The Mistress's Daughter,4/5/2007,256,3.28,3282,518,eng,2127
248,Planet of the Apes: The Human War,7/27/2001,72,3.28,1,1,eng,2012
249,Mirror Mirror,10/1/2004,280,3.28,28014,1512,eng,1708
250,Fantastic Four Vol 5: Disassembled,1/1/2005,136,3.28,192,13,eng,1241
251,Violin,1/1/2002,289,3.28,15886,405,eng,577
252,Voices From the Street,1/23/2007,301,3.29,698,104,eng,2023
253,Oh Play That Thing,10/25/2005,384,3.29,1545,105,eng,1492
254,Live Rich Die Broke,1/1/2005,482,3.29,14,2,eng,1736
255,Northern Lights,9/1/1999,372,3.29,981,69,eng,336
256,Fury,9/5/2002,272,3.29,6711,354,eng,2139
257,What Did the Constitution Mean to Early Americans? (Historians at Work),1/1/1999,169,3.29,24,2,eng,243
258,Blubberina (Scrambled Legs #5),10/1/1989,135,3.29,13,0,eng,1786
259,No Dress Rehearsal,12/1/2000,79,3.29,780,52,eng,1051
260,Serenissima aka Shylock's Daughter,3/1/1988,384,3.29,282,17,eng,538
261,A Streetcar Named Desire (SparkNotes Literature Guide),7/15/2002,96,3.29,0,0,eng,1888
262,The Black Tower (Philip JosÃ© Farmer's The Dungeon #1),7/1/1988,339,3.29,515,19,eng,1891
263,The Boat of Dreams: A Christmas Story,10/28/2003,111,3.29,115,22,eng,2029
264,The Ivory Tower,2/29/2004,296,3.29,57,7,eng,1401
265,Culture Shock! Laos (Culture Shock!),1/30/2000,220,3.29,12,1,eng,1114
266,The Big Empty: Dialogues on Politics Sex God Boxing Morality Myth Poker & Bad Conscience in America,1/24/2006,218,3.3,67,10,eng,1337
267,Setting Free the Bears,6/23/1997,304,3.3,8896,217,eng,188
268,Where or When,10/4/2005,241,3.3,6343,551,eng,1232
269,Wideacre (The Wideacre Trilogy #1),7/2/2003,656,3.3,18944,1547,eng,2198
270,The Soloist,11/27/2006,320,3.3,56,9,eng,469
271,A Lie and a Libel: The History of the Protocols of the Elders of Zion,8/1/1996,148,3.3,8,2,eng,2084
272,Remind Me Again Why I Need A Man,5/1/2007,384,3.3,689,128,eng,879
273,The Valkyries,9/28/1996,212,3.31,1204,79,eng,879
274,Mini-Manual of the Urban Guerrilla,9/9/2002,66,3.31,127,13,eng,21
275,Chosen But Free,9/1/2001,285,3.31,361,43,eng,266
276,Persuasive Communication,10/18/2002,351,3.31,4,0,eng,1976
277,Liar's Poker: A Harry Garnish Mystery,6/1/1993,214,3.31,13,1,eng,2183
278,The Valkyries,9/6/1999,243,3.31,16483,685,eng,437
279,The Fourth Hand,4/29/2003,368,3.31,25257,977,eng,700
280,The Talking Horse and the Sad Girl and the Village Under the Sea: Poems,4/11/2006,60,3.31,418,37,eng,2139
281,Dumpy's Valentine,12/12/2006,24,3.31,22,4,eng,1082
282,Days: A Tangier Diary,6/13/2006,128,3.31,123,16,eng,621
283,Right Livelihoods: Three Novellas,6/1/2007,240,3.31,223,47,eng,1172
284,Conan and the Demons of Khitai,7/25/2006,90,3.31,130,16,eng,501
285,A Matter Of Trust,1/1/2000,256,3.31,4,0,eng,1090
286,Evermore,10/1/2006,237,3.31,16,3,eng,121
287,Atlantic Shift,3/14/2005,406,3.31,138,12,eng,949
288,How to Make Money Like a Porn Star,9/26/2006,128,3.32,164,6,eng,1054
289,Candy,7/15/2003,279,3.32,1169,95,eng,181
290,Holiday Romance and Other Writings for Children,5/1/1995,368,3.32,8,3,eng,665
291,The Real Jimmy Carter: How Our Worst Ex-President Undermines American Foreign Policy Coddles Dictators and Created the Party of Clinton and Kerry,3/19/2004,272,3.32,33,4,eng,1711
292,Baby Names for Dummies,5/1/2005,364,3.32,13,7,eng,742
293,The Colorado Kid,2/20/2006,178,3.32,24611,1970,eng,864
294,Body Surfing,4/24/2007,291,3.32,16371,1538,eng,1172
295,The Wise Woman,2/1/2002,640,3.32,6774,529,eng,437
296,Dead Babies,4/3/1991,206,3.32,6348,162,eng,2139
297,My Perfect Life (Confessions of a Teenage Drama Queen #2),3/3/2005,208,3.32,460,39,eng,356
298,Introducing Baudrillard,8/13/1997,176,3.32,165,25,eng,1023
299,Port Mungo,6/14/2005,242,3.32,412,36,eng,2139
300,A Mulligan for Bobby Jobe: A Novel,5/7/2002,400,3.32,58,9,eng,879
301,Intuition,3/13/2007,385,3.32,3248,590,eng,559
302,Loveless Vol. 1: A Kin of Homecoming,5/1/2006,128,3.32,516,52,eng,2123
303,Symptomatic,2/1/2005,220,3.32,523,65,eng,1721
304,Forbidden Love (Sweet Valley High #34),1/1/1987,138,3.32,5,0,eng,193
305,Story of O (Story of O #1),5/12/1981,199,3.32,12840,997,eng,188
306,Story of O,5/8/1998,224,3.32,446,52,eng,1754
307,The Complete Idiot's Guide to Business Plans,10/4/2005,314,3.32,16,4,eng,78
308,Paper Money,3/1/1996,286,3.32,102,17,eng,1215
309,L'Ã‰pÃ©e de Darwin,11/20/2002,436,3.33,3,0,fre,639
310,Key Topics in Conservation Biology,1/1/2006,307,3.33,3,0,eng,2222
311,Melville and the politics of identity: From *King Lear* to *Moby-Dick*,7/1/1993,164,3.33,0,0,eng,2079
312,Limitations (Kindle County Legal Thriller #7),11/14/2006,208,3.33,1750,228,eng,1556
313,Sky's Pride and Joy (Bachelor Gulch #8),11/24/2000,192,3.33,3,0,eng,1839
314,Talk to the Hand: The Utter Bloody Rudeness of Everyday Life,10/24/2005,214,3.33,204,30,eng,1630
315,Return to the Planet of the Apes: Visions from Nowhere,6/1/1976,183,3.33,12,1,eng,188
316,Across the River and into the Trees,4/15/1998,272,3.33,5546,342,eng,1800
318,The Adventuress,9/1/2006,144,3.33,1058,148,eng,22
319,Turing and the Universal Machine: The Making of the Modern Computer,4/23/1997,153,3.33,56,6,eng,2028
320,Valparaiso,4/1/2004,107,3.33,383,21,eng,1215
321,Self-Made Man: One Woman's Journey Into Manhood and Back Again,1/19/2006,290,3.33,4104,656,eng,2127
322,Treasure Box,10/1/1997,384,3.33,3646,189,eng,879
323,Interlopers,5/1/2001,313,3.33,269,23,eng,28
324,In Custody,8/1/1994,204,3.33,1021,81,eng,1492
325,Control Freak (SVH Senior Year #35),11/13/2001,192,3.33,120,1,eng,193
326,I Don't Know How She Does It (Kate Reddy #1),8/26/2003,368,3.33,16763,1420,eng,94
327,I Don't Know How She Does It (Kate Reddy #1),5/1/2003,368,3.33,214,25,eng,2139
328,Dear Genius...: A Memoir of My Life with Truman Capote,12/1/1987,275,3.33,36,6,eng,1251
329,Maggie: A Girl of the Streets and Other Short Fiction,11/1/2006,240,3.33,517,37,eng,193
330,Man Walks Into a Room,11/11/2003,248,3.33,5422,554,eng,94
331,Selections from Don Quixote - Selecciones de Don Quijote de la Mancha,12/23/1998,288,3.34,26,0,mul,596
332,Criss Cross,8/30/2005,337,3.34,7752,1056,eng,817
333,Phantom Pain,5/15/2004,288,3.34,406,11,eng,1442
334,Power of an Hour: Business and Life Mastery in One Hour a Week,5/19/2006,205,3.34,174,16,eng,2222
335,The Treasure Hunt: A Little Bill Book,9/1/1997,40,3.34,364,18,eng,370
336,My Movie Business: A Memoir,10/10/2000,222,3.34,1113,60,eng,188
337,Zombie,9/1/1996,181,3.34,6028,821,eng,1581
338,Rings of Ice,11/1/1987,191,3.34,403,23,eng,169
339,The Younger Gods (The Dreamers #4),3/1/2007,420,3.34,4541,85,eng,10
340,Deception,1/17/2006,208,3.34,1524,118,eng,2139
341,Your Best Friend's Boyfriend (Follow Your Heart #1),1/1/2006,240,3.34,49,5,eng,1786
342,Scratch the Surface (A Cat Lover's Mystery #1),7/5/2006,288,3.34,23,2,eng,252
